En,Zh,ImgBaseName,AudioBaseName
"NO, AANG, DON'T DO THIS. DON'T WORRY, KATARA. IT'LL BE OK.",不要，安，別這樣做！,17723463881570.jpg,17723463881580441.mp3
"DON'T WORRY, KATARA. IT'LL BE OK.",別擔心，卡塔拉，沒事的,17723463918250.jpg,17723463918260119.mp3
TAKE CARE OF APPA FOR ME UNTIL I GET BACK.,在我回來前幫我照顧阿霸,17723463956580.jpg,17723463956590359.mp3
HEAD A COURSE TO THE FIRE NATION. I'M GOING HOME.,前往烈火國！,17723463991180.jpg,17723463991190615.mp3
I'M GOING HOME.,我要回家了,17723464016160.jpg,17723464016170878.mp3
"WE HAVE TO GO AFTER THAT SHIP, SOKKA. AANG SAVED OUR TRIBE.",我們得去追那艘船，蘇卡,17723464050790.jpg,17723464050810536.mp3
AANG SAVED OUR TRIBE. NOW WE HAVE TO SAVE HIM.,安救了我們部落,17723464075420.jpg,17723464075430660.mp3
"NOW WE HAVE TO SAVE HIM. KATARA, I--",-現在換我們救他 -卡塔拉，我…,17723464110420.jpg,17723464110430120.mp3
"WHY CAN'T YOU REALIZE THAT HE'S ON OUR SIDE? IF WE DON'T HELP HIM, NO ONE WILL.",為啥你不明白他是站我們這邊的？,17723464144620.jpg,17723464144630325.mp3
"IF WE DON'T HELP HIM, NO ONE WILL. I KNOW YOU DON'T LIKE AANG, BUT WE OWE HIM AND--",我們不幫他就沒人會幫了,17723464179260.jpg,17723464179270262.mp3
"I KNOW YOU DON'T LIKE AANG, BUT WE OWE HIM AND-- KATARA, ARE YOU GOING TO TALK ALL DAY",我知道你不喜歡安，但我們欠他…,17723464213870.jpg,17723464213880870.mp3
"KATARA, ARE YOU GOING TO TALK ALL DAY OR ARE YOU COMING WITH ME?",卡塔拉妳是要講一整天 還是要跟我一起來？,17723464265990.jpg,17723464266010188.mp3
SOKKA!,蘇卡！,17723464288780.jpg,17723464288790878.mp3
GET IN. WE'RE GOING TO SAVE YOUR BOYFRIEND. HE'S NOT MY-- WHATEVER.,上去，我們去救妳男朋友,17723464319290.jpg,17723464319290985.mp3
HE'S NOT MY-- WHATEVER. WHAT DO YOU TWO THINK YOU'RE DOING?,-他不是我… -隨便啦,17723464350170.jpg,17723464350200100.mp3
WHAT DO YOU TWO THINK YOU'RE DOING?,你們兩個以為自己在幹嘛？,17723464381390.jpg,17723464381410688.mp3
